match_id,date,home_elo,away_elo,home_form,away_form,home_win_rate,away_win_rate,home_rest_days,away_rest_days,result
149,2021-12-01,1581.23,1512.86,13,4,0.6666666666666666,0.14285714285714285,3,5,H
150,2021-12-03,1471.54,1467.35,5,8,0.16666666666666666,0.16666666666666666,7,6,H
151,2021-12-04,1551.59,1488.18,8,5,0.8333333333333334,0.0,6,7,H
152,2021-12-04,1520.41,1531.07,8,9,0.625,0.5714285714285714,7,6,A
153,2021-12-04,1557.42,1478.39,11,4,0.5714285714285714,0.14285714285714285,6,7,A
154,2021-12-04,1548.49,1587.32,8,15,0.5714285714285714,0.75,6,3,A
155,2021-12-05,1518.99,1501.07,8,7,0.8571428571428571,0.0,8,7,H
156,2021-12-05,1459.41,1455.33,2,5,0.14285714285714285,0.2857142857142857,6,7,H
157,2021-12-05,1432.13,1498.03,2,2,0.0,0.5714285714285714,7,6,D
158,2021-12-05,1477.4,1500.21,6,6,0.125,0.14285714285714285,8,8,A
159,2021-12-06,1448.89,1506.77,8,3,0.2857142857142857,0.125,9,5,D
160,2021-12-10,1492.55,1465.91,6,6,0.25,0.42857142857142855,6,5,D
161,2021-12-11,1493.68,1431.87,6,2,0.625,0.0,6,6,H
162,2021-12-11,1459.59,1448.4,5,8,0.375,0.0,8,5,D
163,2021-12-11,1511.7,1467.17,9,5,0.375,0.125,6,6,H
164,2021-12-11,1507.26,1557.8,3,10,0.42857142857142855,0.375,5,7,A
165,2021-12-12,1481.97,1526.38,4,8,0.42857142857142855,0.125,8,7,H
166,2021-12-12,1498.29,1508.58,2,8,0.125,0.16666666666666666,7,8,D
167,2021-12-12,1542.9,1537.45,9,5,0.5,0.5,8,8,H
168,2021-12-12,1598.36,1543.25,15,10,0.7142857142857143,0.5714285714285714,8,8,H
169,2021-12-13,1447.57,1479.3,4,7,0.0,0.125,8,10,D
170,2021-12-17,1468.75,1499.93,6,9,0.1111111111111111,0.0,7,6,H
171,2021-12-18,1517.26,1457.16,7,5,0.875,0.14285714285714285,6,7,H
172,2021-12-18,1529.73,1491.09,4,7,0.5,0.0,6,6,A
173,2021-12-18,1510.42,1460.48,8,5,0.5555555555555556,0.1111111111111111,6,7,H
174,2021-12-18,1568.51,1536.83,10,7,0.8571428571428571,0.5,7,6,H
175,2021-12-19,1480.54,1489.71,5,6,0.2857142857142857,0.25,6,9,H
176,2021-12-19,1496.56,1550.63,3,12,0.375,0.625,8,7,H
177,2021-12-19,1450.83,1496.45,6,3,0.25,0.5,8,7,H
178,2021-12-19,1604.78,1446.33,15,4,0.75,0.25,7,6,D
179,2021-12-20,1425.62,1518.39,2,9,0.0,0.25,9,9,A
180,2021-12-21,1504.25,1450.87,7,2,0.5,0.125,3,3,H
181,2021-12-21,1575.53,1516.97,10,10,0.875,0.14285714285714285,3,3,D
182,2021-12-22,1488.67,1529.81,8,6,0.375,0.4444444444444444,3,4,H
183,2021-12-22,1505.96,1598.92,5,13,0.4444444444444444,0.7777777777777778,3,3,A
184,2021-12-31,1527.88,1491.19,11,6,0.4444444444444444,0.0,11,14,A
185,2022-01-02,1459.99,1608.4,9,13,0.3333333333333333,0.8,14,11,H
186,2022-01-02,1520.78,1523.56,3,10,0.5,0.1111111111111111,11,15,H
187,2022-01-02,1453.93,1497.7,4,11,0.25,0.1111111111111111,15,11,D
188,2022-01-02,1444.4,1516.57,1,1,0.3333333333333333,0.4444444444444444,12,15,D
189,2022-01-02,1541.23,1477.5,12,8,0.5555555555555556,0.375,14,16,A
190,2022-01-02,1481.58,1520.63,5,8,0.2222222222222222,0.125,14,12,A
191,2022-01-03,1510.71,1416.13,9,2,0.5555555555555556,0.0,13,14,H
192,2022-01-03,1487.29,1496.47,3,4,0.1111111111111111,0.1111111111111111,15,12,A
193,2022-01-03,1452.19,1571.86,2,10,0.0,0.4444444444444444,15,13,A
194,2022-01-08,1410.66,1470.55,1,5,0.0,0.2222222222222222,5,6,H
195,2022-01-08,1516.65,1491.29,1,10,0.4444444444444444,0.4444444444444444,6,6,H
196,2022-01-08,1498.59,1531.66,11,8,0.4444444444444444,0.2222222222222222,6,6,D
197,2022-01-08,1596.32,1514.77,10,10,0.6666666666666666,0.3333333333333333,6,8,H
198,2022-01-09,1515.61,1527.44,7,9,0.8888888888888888,0.5555555555555556,7,7,D
199,2022-01-09,1580.58,1472.07,13,9,0.7777777777777778,0.0,6,7,H
200,2022-01-09,1444.32,1508.34,2,7,0.3,0.2,7,6,D
201,2022-01-09,1475.42,1443.47,3,2,0.1,0.2222222222222222,6,6,H
202,2022-01-09,1516.19,1528.73,12,3,0.6,0.4,6,7,D
203,2022-01-10,1504.3,1453.03,9,5,0.6666666666666666,0.1,10,8,A
204,2022-01-16,1466.51,1514.41,7,13,0.2222222222222222,0.1111111111111111,6,7,H
205,2022-01-18,1529.23,1444.01,7,3,0.5,0.1111111111111111,9,9,H
206,2022-01-18,1436.46,1490.82,2,6,0.0,0.1,9,8,D
207,2022-01-19,1484.1,1482.44,7,5,0.2,0.4444444444444444,11,10,H
208,2022-01-19,1508.99,1585.74,9,13,0.4,0.5,11,10,D
209,2022-01-20,1466.91,1497.39,8,9,0.4,0.1,11,12,H
210,2022-01-21,1491.41,1534.92,7,7,0.6,0.5,3,3,A
211,2022-01-22,1420.22,1435.86,4,3,0.1,0.2,14,4,A
212,2022-01-22,1505.19,1460.98,10,4,0.5454545454545454,0.2,6,14,H
213,2022-01-22,1585.69,1491.93,11,10,0.8,0.4,3,3,D
214,2022-01-22,1530.51,1509.05,4,7,0.5555555555555556,0.3,13,3,H
215,2022-01-23,1488.67,1474.61,8,4,0.4,0.4,3,4,A
216,2022-01-23,1602.1,1475.74,10,7,0.7,0.18181818181818182,15,7,D
217,2022-01-23,1523.84,1475.63,4,10,0.5,0.0,15,3,D
218,2022-01-23,1513.81,1508.66,7,7,0.8,0.18181818181818182,14,14,A
219,2022-01-23,1438.32,1532.87,2,9,0.2727272727272727,0.2,5,15,A
